compound_id,name,HRCE-1,HRCE-2,smiles
1482,Tofacitinib,,,"C[C@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N |c:10,12,16,18|"
3396,S-Ruxolitinib,-0.073907842,,"N#CC[C@@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1 |c:11,13,16,18,22,24|"
1202,Golvatinib,,,"CN1CCN(CC1)C1CCN(CC1)C(=O)NC1=NC=CC(OC2=CC(F)=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C2)=C1 |c:20,44,47,49,t:18,24,27,39,41|"
2289,Remdesivir (GS-5734),0.97672611,0.949489959,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
1105,Ruxolitinib,0.157092672,,"N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2 |c:11,13,18,20,23,t:16|"
2934,Erdafitinib (JNJ-42756493),,0.030062516,"COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1 |c:4,8,22,24,27,34,t:2,18,20,30|"
1691,Crizotinib,-0.115445376,,"C[C@@H](OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl |c:3,6,8,14,24,27,30,t:11|"
2534,alpelisib,,0.619420212,"CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F |c:16,21,23,t:1,19|"
1162,AZD4547,,,"COC1=CC(OC)=CC(CCC2=CC(NC(=O)C3=CC=C(C=C3)N3C[C@H](C)N[C@H](C)C3)=NN2)=C1 |c:6,19,21,32,35,t:2,11,17|"
1402,Anethole trithione,,0.112638908,"COC1=CC=C(C=C1)C1=CC(=S)SS1 |c:4,6,t:2,9|"
