compound_id,name,HUVEC-1,HRCE-1,HRCE-2,smiles
1482,Tofacitinib,0.997732874,,,"C[C@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N |c:10,12,16,18|"
3396,S-Ruxolitinib,0.985103024,-0.073907842,,"N#CC[C@@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1 |c:11,13,16,18,22,24|"
1202,Golvatinib,0.981402054,,,"CN1CCN(CC1)C1CCN(CC1)C(=O)NC1=NC=CC(OC2=CC(F)=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C2)=C1 |c:20,44,47,49,t:18,24,27,39,41|"
2289,Remdesivir (GS-5734),0.355945208,0.97672611,0.949489959,"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1 |c:28,32,34,41,43,t:26,39|"
1105,Ruxolitinib,0.975463694,0.157092672,,"N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2 |c:11,13,18,20,23,t:16|"
2934,Erdafitinib (JNJ-42756493),0.956881328,,0.030062516,"COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC2=NC(=CN=C2C=C1)C1=CN(C)N=C1 |c:4,8,22,24,27,34,t:2,18,20,30|"
1691,Crizotinib,0.94813274,-0.115445376,,"C[C@@H](OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl |c:3,6,8,14,24,27,30,t:11|"
2534,alpelisib,0.93999392,,0.619420212,"CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F |c:16,21,23,t:1,19|"
1162,AZD4547,0.926951543,,,"COC1=CC(OC)=CC(CCC2=CC(NC(=O)C3=CC=C(C=C3)N3C[C@H](C)N[C@H](C)C3)=NN2)=C1 |c:6,19,21,32,35,t:2,11,17|"
1402,Anethole trithione,0.923026038,,0.112638908,"COC1=CC=C(C=C1)C1=CC(=S)SS1 |c:4,6,t:2,9|"
2468,Benzthiazide,0.903132868,,0.130789327,"NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1 |c:4,16,18,20,26,t:7,14|"
3217,R406,0.891983112,,0.164628514,"COC1=CC(NC2=NC(NC3=NC4=C(OC(C)(C)C(=O)N4)C=C3)=C(F)C=N2)=CC(OC)=C1OC |c:22,27,29,33,t:2,6,10,12,24|"
2230,GS-441524,0.206784124,0.883930397,0.846138693,"NC1=NC=NN2C1=CC=C2[C@@]1(O[C@H](CO)[C@@H](O)[C@H]1O)C#N |c:3,9,t:1,7|"
3465,Baricitinib,0.877906369,0.050625606,,"CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1 |c:14,16,19,21,25,27|"
1488,silibinin,0.872300928,,0.199630287,"COC1=C(O)C=CC(=C1)[C@H]1OC2=C(O[C@@H]1CO)C=CC(=C2)[C@H]1OC2=C(C(O)=CC(O)=C2)C(=O)[C@@H]1O |a:9,14,21,33,r,c:2,5,7,12,19,21,29,32,t:26|"
3601,tetramisole,0.871948417,,0.15207038,"C1CN2C[C@H](N=C2S1)C1=CC=CC=C1 |&1:4,r,c:5,12,14,t:10|"
2493,ethosuximide,0.867788907,,0.136704363,"CC[C@@]1(C)CC(=O)NC1=O |&1:2,r|"
604,MGCD-265,0.853713564,,,"CN1C=NC(=C1)C1=CC2=NC=CC(OC3=CC=C(NC(=S)NC(=O)CC4=CC=CC=C4)C=C3F)=C2S1 |c:2,4,11,28,30,33,36,t:7,9,15,17,26|"
1559,oxibendazole,0.849923513,,0.249525462,"CCCOC1=CC2=C(C=C1)N=C(NC(=O)OC)N2 |c:6,8,t:4,11|"
3261,Cediranib,0.831533028,,,"COC1=C(OCCCN2CCCC2)C=C2N=CN=C(OC3=C(F)C4=C(NC(C)=C4)C=C3)C2=C1 |c:2,16,21,28,31,35,t:14,18,24|"
476,FIIN-2,0.828020669,,,"COC1=CC(=CC(OC)=C1)N1CC2=CN=C(NC3=CC=C(C=C3)N3CCN(C)CC3)N=C2N(CC2=CC=C(NC(=O)C=C)C=C2)C1=O |c:4,8,20,22,33,47,t:2,13,15,18,38,40|"
2970,AMG-458,0.815487551,,,"COC1=CC2=NC=CC(OC3=CN=C(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)C4=CC=CC=C4)C=C3)=C2C=C1 |c:6,17,32,34,37,39,42,t:2,4,10,12,30|"
2023,tolperisone,0.80908201,,0.087963126,"C[C@@H](CN1CCCCC1)C(=O)C1=CC=C(C)C=C1 |&1:1,r,c:17,t:12,14|"
3628,Cabozantinib,0.804818981,,0.329069202,"COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2 |c:4,6,32,35,37,39,t:2,13,15,27,29|"
1739,Albendazole,0.803582309,,0.118756976,"CCCSC1=CC=C2N=C(NC(=O)OC)NC2=C1 |c:17,t:4,6,8|"
1927,Flubendazole,0.803004324,0.255601603,,"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=C(F)C=C1 |c:7,11,13,23,t:5,18,20|"
