site_id,well_id,cell_type,experiment,plate,well,site,disease_condition,treatment,treatment_conc,SMILES
VERO-1_1_AA02_1,VERO-1_1_AA02,VERO,VERO-1,1,AA02,1,Active SARS-CoV-2,Ribavirin,0.03,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA02_2,VERO-1_1_AA02,VERO,VERO-1,1,AA02,2,Active SARS-CoV-2,Ribavirin,0.03,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA02_3,VERO-1_1_AA02,VERO,VERO-1,1,AA02,3,Active SARS-CoV-2,Ribavirin,0.03,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA02_4,VERO-1_1_AA02,VERO,VERO-1,1,AA02,4,Active SARS-CoV-2,Ribavirin,0.03,"NC(=O)C1=NN(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O |c:6,t:3|"
VERO-1_1_AA03_1,VERO-1_1_AA03,VERO,VERO-1,1,AA03,1,Active SARS-CoV-2,Lopinavir,0.03,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA03_2,VERO-1_1_AA03,VERO,VERO-1,1,AA03,2,Active SARS-CoV-2,Lopinavir,0.03,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA03_3,VERO-1_1_AA03,VERO,VERO-1,1,AA03,3,Active SARS-CoV-2,Lopinavir,0.03,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA03_4,VERO-1_1_AA03,VERO,VERO-1,1,AA03,4,Active SARS-CoV-2,Lopinavir,0.03,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |c:23,25,33,36,38,45,47,t:21,43|"
VERO-1_1_AA04_1,VERO-1_1_AA04,VERO,VERO-1,1,AA04,1,Active SARS-CoV-2,,,
VERO-1_1_AA04_2,VERO-1_1_AA04,VERO,VERO-1,1,AA04,2,Active SARS-CoV-2,,,
VERO-1_1_AA04_3,VERO-1_1_AA04,VERO,VERO-1,1,AA04,3,Active SARS-CoV-2,,,
VERO-1_1_AA04_4,VERO-1_1_AA04,VERO,VERO-1,1,AA04,4,Active SARS-CoV-2,,,
VERO-1_1_AA05_1,VERO-1_1_AA05,VERO,VERO-1,1,AA05,1,Active SARS-CoV-2,Hydroxychloroquine Sulfate,0.1,"CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12 |c:14,19,t:12,16,21|"
VERO-1_1_AA05_2,VERO-1_1_AA05,VERO,VERO-1,1,AA05,2,Active SARS-CoV-2,Hydroxychloroquine Sulfate,0.1,"CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12 |c:14,19,t:12,16,21|"
VERO-1_1_AA05_3,VERO-1_1_AA05,VERO,VERO-1,1,AA05,3,Active SARS-CoV-2,Hydroxychloroquine Sulfate,0.1,"CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12 |c:14,19,t:12,16,21|"
VERO-1_1_AA05_4,VERO-1_1_AA05,VERO,VERO-1,1,AA05,4,Active SARS-CoV-2,Hydroxychloroquine Sulfate,0.1,"CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12 |c:14,19,t:12,16,21|"
VERO-1_1_AA06_1,VERO-1_1_AA06,VERO,VERO-1,1,AA06,1,Active SARS-CoV-2,Imiquimod,0.03,"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N |c:5,7,12,14,17,t:10|"
VERO-1_1_AA06_2,VERO-1_1_AA06,VERO,VERO-1,1,AA06,2,Active SARS-CoV-2,Imiquimod,0.03,"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N |c:5,7,12,14,17,t:10|"
VERO-1_1_AA06_3,VERO-1_1_AA06,VERO,VERO-1,1,AA06,3,Active SARS-CoV-2,Imiquimod,0.03,"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N |c:5,7,12,14,17,t:10|"
VERO-1_1_AA06_4,VERO-1_1_AA06,VERO,VERO-1,1,AA06,4,Active SARS-CoV-2,Imiquimod,0.03,"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N |c:5,7,12,14,17,t:10|"
VERO-1_1_AA07_1,VERO-1_1_AA07,VERO,VERO-1,1,AA07,1,Active SARS-CoV-2,Aloxistatin,3.0,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C
VERO-1_1_AA07_2,VERO-1_1_AA07,VERO,VERO-1,1,AA07,2,Active SARS-CoV-2,Aloxistatin,3.0,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C
VERO-1_1_AA07_3,VERO-1_1_AA07,VERO,VERO-1,1,AA07,3,Active SARS-CoV-2,Aloxistatin,3.0,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C
VERO-1_1_AA07_4,VERO-1_1_AA07,VERO,VERO-1,1,AA07,4,Active SARS-CoV-2,Aloxistatin,3.0,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C
VERO-1_1_AA08_1,VERO-1_1_AA08,VERO,VERO-1,1,AA08,1,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA08_2,VERO-1_1_AA08,VERO,VERO-1,1,AA08,2,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA08_3,VERO-1_1_AA08,VERO,VERO-1,1,AA08,3,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA08_4,VERO-1_1_AA08,VERO,VERO-1,1,AA08,4,UV Inactivated SARS-CoV-2,,,
VERO-1_1_AA09_1,VERO-1_1_AA09,VERO,VERO-1,1,AA09,1,Active SARS-CoV-2,Arbidol,0.1,"CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12 |c:5,11,13,t:9,18,21,28|"
VERO-1_1_AA09_2,VERO-1_1_AA09,VERO,VERO-1,1,AA09,2,Active SARS-CoV-2,Arbidol,0.1,"CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12 |c:5,11,13,t:9,18,21,28|"
VERO-1_1_AA09_3,VERO-1_1_AA09,VERO,VERO-1,1,AA09,3,Active SARS-CoV-2,Arbidol,0.1,"CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12 |c:5,11,13,t:9,18,21,28|"
VERO-1_1_AA09_4,VERO-1_1_AA09,VERO,VERO-1,1,AA09,4,Active SARS-CoV-2,Arbidol,0.1,"CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12 |c:5,11,13,t:9,18,21,28|"
VERO-1_1_AA10_1,VERO-1_1_AA10,VERO,VERO-1,1,AA10,1,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA10_2,VERO-1_1_AA10,VERO,VERO-1,1,AA10,2,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA10_3,VERO-1_1_AA10,VERO,VERO-1,1,AA10,3,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA10_4,VERO-1_1_AA10,VERO,VERO-1,1,AA10,4,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA11_1,VERO-1_1_AA11,VERO,VERO-1,1,AA11,1,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA11_2,VERO-1_1_AA11,VERO,VERO-1,1,AA11,2,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
VERO-1_1_AA11_3,VERO-1_1_AA11,VERO,VERO-1,1,AA11,3,Active SARS-CoV-2,Oseltamivir carboxylate,1.0,"CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |r,c:7|"
